Timestamp,Jurusan,Angkatan,Sebagai Mahasiswa Untuk keperluan apa saja Anda menggunakan ChatGPT? (Pilih semua yang relevan),Apabila anda mendapat tugas dalam waktu dekat anda akan menggunakan apa untuk menyelesaikan tugasnya?,Sebelum menggunakan Chat GPT Seberapa sering kalian melakukan kegiatan membaca dalam seminggu?,Seberapa tinggi minat baca Anda sebelum menggunakan ChatGPT?,"Sebelum menggunakan ChatGPT, sejauh mana Anda merasa termotivasi untuk membaca literatur yang relevan dengan tugas akademik Anda?","Sebelum menggunakan ChatGPT, bagaimana tingkat pemahaman Anda tentang pentingnya membaca literatur akademik dalam menyelesaikan tugas?","Apakah Anda merasa sebelum menggunakan ChatGPT, Anda lebih cenderung mencari informasi sendiri dari literatur atau mengandalkan ringkasan dari sumber lain?","Sebelum menggunakan ChatGPT, bagaimana kebiasaan Anda dalam mencari dan membaca jurnal atau artikel ilmiah untuk mendukung tugas akademik Anda?","Sebelum menggunakan ChatGPT, bagaimana tingkat kemandirian Anda dalam mencari bahan bacaan akademik yang relevan dengan tugas?",Total Nilai Sebelum Penggunaan ChatGPT (Post),Setelah menggunakan Chat GPT Seberapa sering kalian melakukan kegiatan membaca dalam seminggu?,Seberapa tinggi minat baca Anda setelah menggunakan ChatGPT?,"Setelah menggunakan ChatGPT, apakah Anda masih merasa termotivasi untuk membaca literatur yang relevan dengan tugas akademik Anda?",Bagaimana tingkat pemahaman Anda tentang pentingnya membaca literatur akademik dalam menyelesaikan tugas setelah menggunakan ChatGPT?,Apakah penggunaan ChatGPT telah mengubah kecenderungan Anda dalam mencari informasi sendiri dari literatur atau mengandalkan ringkasan dari sumber lain?,"Setelah menggunakan ChatGPT, bagaimana kebiasaan Anda dalam mencari dan membaca jurnal atau artikel ilmiah untuk mendukung tugas akademik Anda?",Bagaimana tingkat kemandirian Anda dalam mencari bahan bacaan akademik yang relevan dengan tugas setelah menggunakan ChatGPT?,Total Nilai Sesudah Penggunaan ChatGPT (Post),Selisih Antara Total Nilai Sesudah dan Sebelum Penggunaan ChatGPT (Xi),Apakah penggunaan ChatGPT membantu Anda menemukan literatur yang relevan dengan lebih cepat?,Apakah penggunaan ChatGPT meningkatkan minat Anda dalam membaca literatur akademik?,Apakah Anda merasa penggunaan ChatGPT mengurangi kemandirian Anda dalam mencari literatur?,Bagaimana ChatGPT mempengaruhi cara Anda mengakses informasi? (Pilih semua yang relevan),Seberapa besar pengaruh ChatGPT dalam meningkatkan efisiensi waktu Anda dalam mencari literatur akademik?,"Secara keseluruhan, bagaimana Anda menilai pengaruh ChatGPT terhadap minat baca akademik Anda?",(Xi-x̄)^2,Nilai Sebelum Penggunaan ChatGPT (%),Nilai Sesudah Penggunaan ChatGPT (%)
5/21/2024 9:39:03,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mencari informasi, Mendiskusikan topik tertentu","Buku, Jurnal",>2 kali,5,5,5,4,5,5,29,>2 kali,5,5,5,5,5,5,30,1,4,4,2,Lebih sering membaca artikel atau buku,5,5,3.6481,96.66666667,100
5/21/2024 9:54:50,Sistem Informasi,2022,Membantu mengerjakan tugas,Chat GPT,>2 kali,5,5,5,5,5,5,30,>2 kali,5,5,5,5,5,5,30,0,5,5,5,Lebih mengandalkan ChatGPT untuk jawaban cepat,5,5,0.8281,100,100
5/21/2024 10:21:23,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mencari informasi","Buku, Jurnal",>2 kali,4,4,4,4,4,4,24,1-2 kali,3,4,4,3,3,2,19,-5,5,3,4,Lebih mengandalkan ChatGPT untuk jawaban cepat,5,4,16.7281,80,63.33333333
5/21/2024 10:25:27,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mendiskusikan topik tertentu",Chat GPT,1-2 kali,4,4,4,4,4,4,24,1-2 kali,2,3,4,3,3,4,19,-5,5,3,4,"Lebih sering mencari informasi di internet, Lebih mengandalkan ChatGPT untuk jawaban cepat",5,3,16.7281,80,63.33333333
5/21/2024 10:42:16,Sistem Informasi,2022,Membantu mengerjakan tugas,Jurnal,1-2 kali,4,4,4,3,3,5,23,1-2 kali,4,4,4,4,2,2,20,-3,5,3,4,Lebih mengandalkan ChatGPT untuk jawaban cepat,5,5,4.3681,76.66666667,66.66666667
5/21/2024 11:01:50,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mencari informasi","Chat GPT, Jurnal",Tidak pernah,2,4,2,3,3,3,17,>2 kali,3,4,4,4,4,4,23,6,4,4,4,"Lebih sering mencari informasi di internet, Lebih mengandalkan ChatGPT untuk jawaban cepat, Mengurangi waktu membaca buku fisik",4,4,47.7481,56.66666667,76.66666667
5/21/2024 11:03:17,Sistem Informasi,2022,Membantu mengerjakan tugas,Chat GPT,>2 kali,5,5,5,5,5,5,30,>2 kali,5,5,5,5,4,4,28,-2,4,4,2,Lebih mengandalkan ChatGPT untuk jawaban cepat,5,3,1.1881,100,93.33333333
5/21/2024 11:13:37,Sistem Informasi,2022,Membantu mengerjakan tugas,Chat GPT,>2 kali,3,3,4,3,3,4,20,1-2 kali,2,3,3,2,3,2,15,-5,5,3,5,Lebih mengandalkan ChatGPT untuk jawaban cepat,5,4,16.7281,66.66666667,50
5/21/2024 11:17:11,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mendiskusikan topik tertentu","Buku, Jurnal",1-2 kali,5,5,5,5,5,5,30,1-2 kali,4,5,5,4,4,4,26,-4,5,4,2,"Lebih mengandalkan ChatGPT untuk jawaban cepat, Mengurangi waktu membaca buku fisik",5,5,9.5481,100,86.66666667
5/21/2024 11:26:31,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mencari informasi","Buku, Jurnal",>2 kali,5,5,5,5,5,5,30,>2 kali,5,5,5,5,5,5,30,0,4,4,1,Lebih sering membaca artikel atau buku,4,4,0.8281,100,100
5/21/2024 12:19:53,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mencari informasi","Buku, Jurnal",>2 kali,5,5,5,5,5,5,30,>2 kali,4,5,5,5,4,4,27,-3,5,4,1,Lebih mengandalkan ChatGPT untuk jawaban cepat,5,5,4.3681,100,90
5/21/2024 12:31:40,Sistem Informasi,2021,"Mencari informasi, Mendiskusikan topik tertentu","Buku, Jurnal",1-2 kali,4,5,4,4,4,5,26,1-2 kali,4,5,5,5,5,5,29,3,3,3,1,"Lebih mengandalkan ChatGPT untuk jawaban cepat, Mengurangi waktu membaca buku fisik",5,4,15.2881,86.66666667,96.66666667
